X,Y,OBJECTID,DVRPC_ID,SEPTA_ID,TYPE,LINE,STATION,OPERATOR,GLOBALID,COUNTY,STATE
-75.2514669408948,39.9975426161699,7,7,90521,Commuter Rail,Paoli/Thorndale Line,Merion,SEPTA,{3186790A-3294-451F-ACDF-090D405FF9FA},Montgomery,Pennsylvania
-75.6731331128948,39.6945095208242,329,329,90202,Commuter Rail,Wilmington/Newark Line,Churchmans Crossing,SEPTA,{9C868F4B-17E8-438F-9617-C9727F31955F},Bucks,Delaware
-74.9131128490098,40.1606387748682,37,38,90324,Commuter Rail,West Trenton Line,Langhorne,SEPTA,{404AE6A0-A2F6-4B83-908D-121ACB476B60},Bucks,Pennsylvania
-75.2467568448367,40.2738582957872,22,23,90534,Commuter Rail,Lansdale/Doylestown Line,Link Belt,SEPTA,{A8B80E47-A41A-43AB-9A60-93596A693884},Montgomery,Pennsylvania
-75.092516578274,40.1113787342745,90,91,90317,Commuter Rail,West Trenton Line,Meadowbrook,SEPTA,{7B08E211-B87A-4C47-B5B2-7F1A275A4CC4},Montgomery,Pennsylvania
-74.9522446938271,40.0717791692328,323,324,0,Intercity Passenger Rail,Amtrak (Multiple Routes),Cornwells Heights,Amtrak,{21E3F4CB-9AA6-4B5C-8F29-DBA8F026E028},Bucks,Pennsylvania
-75.3272363707178,40.0281871075796,1,1,90515,Commuter Rail,Paoli/Thorndale Line,Rosemont,SEPTA,{2435CD57-7095-4BE5-96A7-BCC32220D0EE},Montgomery,Pennsylvania
-75.2569411832391,40.1848393583399,73,74,90528,Commuter Rail,Lansdale/Doylestown Line,Gwynedd Valley,SEPTA,{F52F9F63-FB36-4643-B4D5-8DEB55B51F49},Montgomery,Pennsylvania
-75.2772583138996,40.2143533564909,72,73,90529,Commuter Rail,Lansdale/Doylestown Line,North Wales,SEPTA,{E6D5278E-29A3-46FA-BEB3-CF6445C5EA78},Montgomery,Pennsylvania
-74.9621398160401,40.1468380075433,36,37,90323,Commuter Rail,West Trenton Line,Neshaminy Falls,SEPTA,{E2A8D981-4615-40B8-BC5F-D95AD65FDF25},Bucks,Pennsylvania
-75.342486185323,40.0711475089864,251,252,0,Rapid Transit,Norristown High Speed Line,Gulph Mills,SEPTA,{873C16EA-6688-4430-88FE-A08B443B2625},Montgomery,Pennsylvania
-75.2903045117707,40.008426409257,4,4,90518,Commuter Rail,Paoli/Thorndale Line,Ardmore,SEPTA,{356ACEBB-EDFF-4F1B-B77F-178E3AB39D67},Montgomery,Pennsylvania
-75.2615403937932,40.0048660714119,6,6,90520,Commuter Rail,Paoli/Thorndale Line,Narberth,SEPTA,{2F85F7C3-BCEC-4F0E-93B1-3139165FF656},Montgomery,Pennsylvania
-75.2903045117707,40.008426409257,320,321,0,Intercity Passenger Rail,Amtrak (Multiple Routes),Ardmore,Amtrak,{9485FA8E-E88F-4B54-8DB8-64AF40657663},Montgomery,Pennsylvania
-75.1838403025825,40.118199587765,77,78,90524,Commuter Rail,Lansdale/Doylestown Line,Oreland,SEPTA,{5A85B16F-BE4B-491B-8D51-A8DD6BC9CD01},Montgomery,Pennsylvania
-75.2792626952436,40.2500088879188,331,332,0,Commuter Rail,Lansdale/Doylestown Line,9th Street,SEPTA,{43167307-3589-436B-8EEB-6EA52397DF65},Montgomery,Pennsylvania
-75.2901838606106,39.8962167445124,68,69,90213,Commuter Rail,Wilmington/Newark Line,Glenolden,SEPTA,{CBA7AAEB-67BB-4715-AED3-AB1D67E9B7B2},Delaware,Pennsylvania
-75.2819982928692,39.9117058197975,210,211,0,Surface Trolley,Route 102 Trolley,Andrews Avenue,SEPTA,{31AB837D-B468-4123-BCDB-4437F9CDF382},Delaware,Pennsylvania
