"","X","Y","OBJECTID","DVRPC_ID","SEPTA_ID","TYPE","LINE","STATION","OPERATOR","GLOBALID","COUNTY","STATE"
"1",-75.2514669408948,39.9975426161699,7,7,90521,"Commuter Rail","Paoli/Thorndale Line","Merion","SEPTA","{3186790A-3294-451F-ACDF-090D405FF9FA}","Montgomery","Pennsylvania"
"2",-75.6731331128948,39.6945095208242,329,329,90202,"Commuter Rail","Wilmington/Newark Line","Churchmans Crossing","SEPTA","{9C868F4B-17E8-438F-9617-C9727F31955F}","Bucks","Delaware"
"3",-74.9131128490098,40.1606387748682,37,38,90324,"Commuter Rail","West Trenton Line","Langhorne","SEPTA","{404AE6A0-A2F6-4B83-908D-121ACB476B60}","Bucks","Pennsylvania"
"4",-75.2467568448367,40.2738582957872,22,23,90534,"Commuter Rail","Lansdale/Doylestown Line","Link Belt","SEPTA","{A8B80E47-A41A-43AB-9A60-93596A693884}","Montgomery","Pennsylvania"
"5",-75.092516578274,40.1113787342745,90,91,90317,"Commuter Rail","West Trenton Line","Meadowbrook","SEPTA","{7B08E211-B87A-4C47-B5B2-7F1A275A4CC4}","Montgomery","Pennsylvania"
"7",-75.3272363707178,40.0281871075796,1,1,90515,"Commuter Rail","Paoli/Thorndale Line","Rosemont","SEPTA","{2435CD57-7095-4BE5-96A7-BCC32220D0EE}","Montgomery","Pennsylvania"
"8",-75.2569411832391,40.1848393583399,73,74,90528,"Commuter Rail","Lansdale/Doylestown Line","Gwynedd Valley","SEPTA","{F52F9F63-FB36-4643-B4D5-8DEB55B51F49}","Montgomery","Pennsylvania"
"9",-75.2772583138996,40.2143533564909,72,73,90529,"Commuter Rail","Lansdale/Doylestown Line","North Wales","SEPTA","{E6D5278E-29A3-46FA-BEB3-CF6445C5EA78}","Montgomery","Pennsylvania"
"10",-74.9621398160401,40.1468380075433,36,37,90323,"Commuter Rail","West Trenton Line","Neshaminy Falls","SEPTA","{E2A8D981-4615-40B8-BC5F-D95AD65FDF25}","Bucks","Pennsylvania"
"12",-75.2903045117707,40.008426409257,4,4,90518,"Commuter Rail","Paoli/Thorndale Line","Ardmore","SEPTA","{356ACEBB-EDFF-4F1B-B77F-178E3AB39D67}","Montgomery","Pennsylvania"
"13",-75.2615403937932,40.0048660714119,6,6,90520,"Commuter Rail","Paoli/Thorndale Line","Narberth","SEPTA","{2F85F7C3-BCEC-4F0E-93B1-3139165FF656}","Montgomery","Pennsylvania"
"15",-75.1838403025825,40.118199587765,77,78,90524,"Commuter Rail","Lansdale/Doylestown Line","Oreland","SEPTA","{5A85B16F-BE4B-491B-8D51-A8DD6BC9CD01}","Montgomery","Pennsylvania"
"16",-75.2792626952436,40.2500088879188,331,332,0,"Commuter Rail","Lansdale/Doylestown Line","9th Street","SEPTA","{43167307-3589-436B-8EEB-6EA52397DF65}","Montgomery","Pennsylvania"
"17",-75.2901838606106,39.8962167445124,68,69,90213,"Commuter Rail","Wilmington/Newark Line","Glenolden","SEPTA","{CBA7AAEB-67BB-4715-AED3-AB1D67E9B7B2}","Delaware","Pennsylvania"
"19",-75.1852665461111,40.0628703718655,97,98,90716,"Commuter Rail","Chestnut Hill East Line","Sedgwick","SEPTA","{F2825FD2-48FF-43AE-BB6B-D0B9C4E6D8AE}","Philadelphia","Pennsylvania"
"23",-75.2545951686686,39.9129530555631,19,20,90217,"Commuter Rail","Wilmington/Newark Line","Darby","SEPTA","{D375B834-D1D6-481B-97A4-7B544B5EC6CE}","Delaware","Pennsylvania"
"26",-75.1916100134623,40.0509296467723,105,106,90805,"Commuter Rail","Chestnut Hill West Line","Carpenter Lane","SEPTA","{02C998E3-6B55-4A8A-A133-891DD77311BF}","Philadelphia","Pennsylvania"
"27",-75.3094537275173,39.8881192978912,66,67,90211,"Commuter Rail","Wilmington/Newark Line","Prospect Park","SEPTA","{DF9DC355-510F-428D-90B5-2EDD5FD05357}","Delaware","Pennsylvania"
"28",-75.0417014723931,39.9284539314443,274,275,0,"Commuter Rail","Atlantic City Line","Cherry Hill","NJ Transit","{4516D6F7-DDC1-4A73-94EB-E88C61BF6ABD}","Camden","New Jersey"
"30",-74.7538834309671,40.2185537371211,21,22,90701,"Commuter Rail","Trenton Line","Trenton Transit Center","SEPTA","{11AB8760-4FD1-415E-B522-354911565F68}","Mercer","New Jersey"
